from_x,from_y,to_x,to_y,param1,param2,param3
-10,-24,24,48,16,0,4
24,49,-4,-25,1,0,4
-16,-22,23,48,16,0,4
23,49,-10,-24,1,0,4
-22,-19,22,48,16,0,4
22,49,-16,-22,1,0,4
-27,-16,21,48,16,0,4
21,49,-22,-19,1,0,4
-31,-13,20,48,16,0,4
20,49,-27,-16,1,0,4
-34,-10,19,48,16,0,4
19,49,-31,-13,1,0,4
-36,-7,18,48,16,0,4
18,49,-34,-10,1,0,4
-37,-4,17,48,16,0,4
17,49,-36,-7,1,0,4
-37,-1,16,48,16,0,4
16,49,-37,-4,1,0,4
-36,2,15,48,16,0,4
15,49,-37,-1,1,0,4
-34,5,14,48,16,0,4
14,49,-36,2,1,0,4
-31,8,13,48,16,0,4
13,49,-34,5,1,0,4
-27,11,12,48,16,6,4
12,49,-31,8,1,0,4
-22,14,11,48,16,13,4
11,49,-27,11,1,0,4
-16,17,10,48,16,3,4
10,49,-22,14,1,0,4
-10,19,9,48,16,0,4
9,49,-16,17,1,0,4
-4,20,8,48,16,0,4
8,49,-10,19,1,0,4
2,20,7,48,16,4,4
7,49,-4,20,1,0,4
8,19,6,48,16,14,4
6,49,2,20,1,0,4
14,17,5,48,16,0,4
5,49,8,19,1,0,4
20,14,4,48,16,0,4
4,49,14,17,1,0,4
25,11,3,48,16,0,4
3,49,20,14,1,0,4
29,8,2,48,16,0,4
2,49,25,11,1,0,4
32,5,1,48,16,0,4
1,49,29,8,1,0,4
34,2,0,48,16,0,4
0,49,32,5,1,0,4
35,-1,-1,48,16,0,4
-1,49,34,2,1,0,4
35,-4,-2,48,16,0,4
-2,49,35,-1,1,0,4
34,-7,-3,48,16,0,4
-3,49,35,-4,1,0,4
32,-10,-4,48,16,0,4
-4,49,34,-7,1,0,4
29,-13,-5,48,16,0,4
-5,49,32,-10,1,0,4
25,-16,-6,48,16,0,4
-6,49,29,-13,1,0,4
20,-19,-7,48,16,0,4
-7,49,25,-16,1,0,4
14,-22,-8,48,16,0,4
-8,49,20,-19,1,0,4
8,-24,-9,48,16,0,4
-9,49,14,-22,1,0,4
2,-25,-10,48,16,0,4
-10,49,8,-24,1,0,4
-4,-25,-11,48,16,0,4
-11,49,2,-25,1,0,4
-10,-24,-12,48,16,0,4
-12,49,-4,-25,1,0,4
-16,-22,-13,48,16,0,4
-13,49,-10,-24,1,0,4
-22,-19,-14,48,16,0,4
-14,49,-16,-22,1,0,4
-27,-16,-15,48,16,0,4
-15,49,-22,-19,1,0,4
-31,-13,-16,48,16,0,4
-16,49,-27,-16,1,0,4
-34,-10,-17,48,16,0,4
-17,49,-31,-13,1,0,4
-36,-7,-18,48,16,0,4
-18,49,-34,-10,1,0,4
-37,-4,-19,48,16,0,4
-19,49,-36,-7,1,0,4
-37,-1,-20,48,16,0,4
-20,49,-37,-4,1,0,4
-36,2,-21,48,16,0,4
-21,49,-37,-1,1,0,4
-34,5,-22,48,16,0,4
-22,49,-36,2,1,0,4
-31,8,-23,48,16,0,4
-23,49,-34,5,1,0,4
-27,11,-24,48,16,5,4
-24,49,-31,8,1,0,4
-22,14,-25,48,16,7,4
-25,49,-27,11,1,0,4
-16,17,-26,48,16,0,4
-26,49,-22,14,1,0,4
-10,19,-27,48,16,0,4
-27,49,-16,17,1,0,4
-4,20,-28,48,16,8,4
-28,49,-10,19,1,0,4
2,20,-29,48,16,9,4
-29,49,-4,20,1,0,4
8,19,-30,48,16,0,4
-30,49,2,20,1,0,4
14,17,-31,48,16,0,4
-31,49,8,19,1,0,4
20,14,-32,48,16,0,4
-32,49,14,17,1,0,4
25,11,-33,48,16,0,4
-33,49,20,14,1,0,4
29,8,-34,48,16,0,4
-34,49,25,11,1,0,4
32,5,-35,48,16,0,4
-35,49,29,8,1,0,4
34,2,-36,48,16,0,4
-36,49,32,5,1,0,4
35,-1,-37,48,16,0,4
-37,49,34,2,1,0,4
35,-4,-38,48,16,0,4
-38,49,35,-1,1,0,4
34,-7,-39,48,16,0,4
-39,49,35,-4,1,0,4
32,-10,-40,48,16,0,4
-40,49,34,-7,1,0,4
29,-13,-41,48,16,0,4
-41,49,32,-10,1,0,4
25,-16,-42,48,16,0,4
-42,49,29,-13,1,0,4
20,-19,-43,48,16,0,4
-43,49,25,-16,1,0,4
14,-22,-44,48,16,0,4
-44,49,20,-19,1,0,4
8,-24,-45,48,16,0,4
-45,49,14,-22,1,0,4
2,-25,-46,48,16,0,4
-46,49,8,-24,1,0,4
-4,-25,-47,48,16,0,4
-47,49,2,-25,1,0,4
-10,-24,-48,48,16,0,4
-48,49,-4,-25,1,0,4
-16,-22,-49,48,16,0,4
-49,49,-10,-24,1,0,4
-22,-19,-49,48,16,0,4
-50,49,-16,-22,1,0,4
-27,-16,-50,49,16,0,4
-50,48,-22,-19,1,0,4
-31,-13,-49,47,16,0,4
-50,47,-27,-16,1,0,4
-34,-10,-49,46,16,0,4
-50,46,-31,-13,1,0,4
-36,-7,-49,45,16,0,4
-50,45,-34,-10,1,0,4
-37,-4,-49,44,16,0,4
-50,44,-36,-7,1,0,4
-37,-1,-49,43,16,0,4
-50,43,-37,-4,1,0,4
-36,2,-49,42,16,0,4
-50,42,-37,-1,1,0,4
-34,5,-49,41,16,0,4
-50,41,-36,2,1,0,4
-31,8,-49,40,16,0,4
-50,40,-34,5,1,0,4
-27,11,-49,39,16,1,4
-50,39,-31,8,1,0,4
-22,14,-49,38,16,12,4
-50,38,-27,11,1,0,4
-16,17,-49,37,16,0,4
-50,37,-22,14,1,0,4
-10,19,-49,36,16,0,4
-50,36,-16,17,1,0,4
-4,20,-49,35,16,0,4
-50,35,-10,19,1,0,4
2,20,-49,34,16,0,4
-50,34,-4,20,1,0,4
8,19,-49,33,16,0,4
-50,33,2,20,1,0,4
14,17,-49,32,16,0,4
-50,32,8,19,1,0,4
20,14,-49,31,16,0,4
-50,31,14,17,1,0,4
25,11,-49,30,16,0,4
-50,30,20,14,1,0,4
29,8,-49,29,16,0,4
-50,29,25,11,1,0,4
32,5,-49,28,16,0,4
-50,28,29,8,1,0,4
34,2,-49,27,16,0,4
-50,27,32,5,1,0,4
35,-1,-49,26,16,0,4
-50,26,34,2,1,0,4
35,-4,-49,25,16,0,4
-50,25,35,-1,1,0,4
34,-7,-49,24,16,0,4
-50,24,35,-4,1,0,4
32,-10,-49,23,16,0,4
-50,23,34,-7,1,0,4
29,-13,-49,22,16,0,4
-50,22,32,-10,1,0,4
25,-16,-49,21,16,0,4
-50,21,29,-13,1,0,4
20,-19,-49,20,16,0,4
-50,20,25,-16,1,0,4
14,-22,-49,19,16,0,4
-50,19,20,-19,1,0,4
8,-24,-49,18,16,0,4
-50,18,14,-22,1,0,4
2,-25,-49,17,16,0,4
-50,17,8,-24,1,0,4
-4,-25,-49,16,16,0,4
-50,16,2,-25,1,0,4
-10,-24,-49,15,16,10,4
-50,15,-4,-25,1,0,4
-16,-22,-49,14,16,5,4
-50,14,-10,-24,1,0,4
-22,-19,-49,13,16,2,4
-50,13,-16,-22,1,0,4
-27,-16,-49,12,16,1,4
-50,12,-22,-19,1,0,4
-31,-13,-49,11,16,1,4
-50,11,-27,-16,1,0,4
-34,-10,-49,10,16,5,4
-50,10,-31,-13,1,0,4
-36,-7,-49,9,16,15,4
-50,9,-34,-10,1,0,4
-37,-4,-49,8,16,37,4
-50,8,-36,-7,1,0,4
